file,acc,f1
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-cnn.txt,0.751,0.636
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-base.txt,0.746,0.632
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-f.txt,0.764,0.655
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-f_long-bert.txt,0.567,0.266
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-attn-2-f.txt,0.759,0.645
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-attn-2.txt,0.764,0.649
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-attn-2_long-bert.txt,0.553,0.275
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-attn-mask.txt,0.758,0.641
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-conn-mask-f.txt,0.759,0.645
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-conn-mask-mid.txt,0.76,0.648
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-conn-mask.txt,0.765,0.653
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sf.txt,0.761,0.65
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-uttr-attn-3.txt,0.76,0.649
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-lstm.txt,0.731,0.613
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_combo-f.txt,0.751,0.642
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_combo.txt,0.75,0.636
