,Turn,Text,True,Pred,Don_true,Don_pred
0,0,HJi how old is the bike?,5,5,0,0.40381160378456116
1,0,"Hi there, are you interested in the bike?",0,0,0,0.40381160378456116
2,0,yes where did you buy it from orginally?,5,5,0,0.40381160378456116
3,0,It is just over a year. I bought it from the schwinn factory directly.,0,0,0,0.40381160378456116
4,0,did you have to make any repair? are all the parts orginigal?,1,1,0,0.40381160378456116
5,0,"I have newly installed rim tapes, inner tubes, derailleur cable.  all new parts. it is in good condition if that is what you are worried about.",0,0,0,0.40381160378456116
6,0,who will deliever the bike?,0,5,0,0.40381160378456116
7,0,"I think we can arrange that, i will take care of either delivering it or the shipping. I am asking 240$ witht he shipping included.",6,6,0,0.40381160378456116
8,0,can you do $220?,4,4,0,0.40381160378456116
9,0,That seems fair. Deal.,0,0,0,0.40381160378456116
10,0,Hey. How long have you had this couch for?,5,5,1,0.36330917477607727
11,0,"HI, we've had it a couple years",0,0,1,0.36330917477607727
12,0,Okay. Did anyone smoke where the couch was?,5,5,1,0.36330917477607727
13,0,"Oh, no, none of us are smokers and it was bought new, so that's not an issue.",0,0,1,0.36330917477607727
14,0,Okay great.  Is there any damage to the couch? Do you have a picture?,1,1,1,0.36330917477607727
15,0,"Sorry, ,I don't have a photo. But it has no damage, you would see when you picked it up.",0,0,1,0.36330917477607727
16,0,Okay.  How much are you trying to sell it for?,0,0,1,0.36330917477607727
17,0,I'm asking $40 and have come down a bit to that,4,0,1,0.36330917477607727
18,0,40 is good to me.  I can pick it up this weekend.  Cool?,0,0,1,0.36330917477607727
19,0,"Hey, great! It's a deal. This weekend works fine.",0,0,1,0.36330917477607727
20,0,Awesome,0,0,1,0.36330917477607727
21,0,"Thanks, see you then.",0,0,1,0.36330917477607727
22,0,You too. Bye,0,0,1,0.36330917477607727
23,0,bye,0,0,1,0.36330917477607727
24,0,"Hi, I'm interested in the 2001 Rav 4",0,0,0,0.43927574157714844
25,0,It is a great car. It runs great. I'm asking $4000.,0,0,0,0.43927574157714844
26,0,"That's way out of my budget, plus it seems a bit steep for such an old car.",2,2,0,0.43927574157714844
27,0,"It may be old, but it runs great. Has lower mileage and a clean title.",2,2,0,0.43927574157714844
28,0,Why are you selling it?,1,1,0,0.43927574157714844
29,0,I'm going to get a motorcycle instead. How much are you willing to pay?,0,0,0,0.43927574157714844
30,0,"I'm very interested, but it's out of my price point. I'd like to pay around 2,500 for my next car.",4,7,0,0.43927574157714844
31,0,"You can't get a car like this for that low. I checked the Blue Book, and what I'm asking is right in range. I'll tell you what. I have a friend who is a mechanic. If you give me $3500, I'll have him check it out for you for free.",2,2,0,0.43927574157714844
32,0,"I could go up to $3,000",4,4,0,0.43927574157714844
33,0,How about $3400?,4,4,0,0.43927574157714844
34,0,"Believe me, I wish I had that much saved. The absolute highest I could go is $3,200",7,3,0,0.43927574157714844
35,0,"No, too low. I'm close to the Blue Book value. If you pay $3400 and something goes wrong in the next three months, I'll refund your money. You rarely get a warranty like tha!",6,6,0,0.43927574157714844
36,0,are you will to buy it,0,0,1,0.6511408090591431
37,0,yes,0,0,1,0.6511408090591431
38,0,i can offer you this item for 175$ with original box manual and remote,0,6,1,0.6511408090591431
39,0,a bit lower than that maybe?,4,4,1,0.6511408090591431
40,0,165$ can be a good deal,4,0,1,0.6511408090591431
41,0,how about the condition?,5,5,1,0.6511408090591431
42,0,"it new light used only, only 6 to 7 month old. still under warranty",0,0,1,0.6511408090591431
43,0,how about the shipping?,5,5,1,0.6511408090591431
44,0,i you are willing to pay 170 i can make the shipping what  do you say?,6,0,1,0.6511408090591431
45,0,but you cant ship with 165?,1,4,1,0.6511408090591431
46,0,5$ isn't much for this item.,2,2,1,0.6511408090591431
47,0,yeah i know i think 170 is good with free shipping,0,0,1,0.6511408090591431
48,0,can we have the deal,0,0,1,0.6511408090591431
49,0,Hello are you interested in the rental,0,0,1,0.6861948370933533
50,0,"Hi. I am yes, it seems to be a nice option. What is the asking price?",0,0,1,0.6861948370933533
51,0,5395,4,0,1,0.6861948370933533
52,0,"I see. What comes with it? If I am leasing it, will I get repairs covered?",5,5,1,0.6861948370933533
53,0,Yes reparis are covered and you have the chef's kitchen and pool with it.,0,0,1,0.6861948370933533
54,0,Good to know. What would you think about an offer of 4100?,4,4,1,0.6861948370933533
